tag|num|kind|label|loc|start
EJA|44|Corollary|cor:assocalg|main.tex:1174|Let $a\in E$ be an element of an EJA. Let $C(a)$ denote the closure of the algebra generated by $a$, then $C(a)$ is a commutative associativ
EJA|45|Proposition|prop:associsdisc|main.tex:1189|An associative EJA is isomorphic as an algebra to $\R^n$ with pointwise multiplication for some $n\in \N$. \end{proposition}
EJA|46|Corollary|cor:spectral|main.tex:1226|Let $a$ be an element of an EJA. Then there exist real numbers $\lambda_i$ and orthogonal idempotents $p_i$ such that $a = \sum_{i=1}^n \lam
EJA|47|Proposition|prop:selfduality|main.tex:1233|An element $a\in E$ is positive (i.e.\ a square) if and only if $\inn{a,b}\geq 0$ for all positive $b$. \end{proposition}
EJA|48|Corollary|cor:ejaous|main.tex:1239|Let $E$ be an EJA. The set of positive elements is closed under addition. More specifically $E$ is an Archimedean order unit space. \end{cor
EJA|49|Proposition|prop:equivalenttopology|main.tex:1246|Let $E$ be an EJA. The topologies induced by the Hilbert norm and by the order unit norm are equivalent. \end{proposition}
EJA|50|Proposition|prop:EJAisJB|main.tex:1259|Let $E$ be an EJA. Then $E$ is a JB-algebra. \end{proposition}
EJA|51|Proposition|prop:dircomplete|main.tex:1266|Let $E$ be an EJA. Then $E$ is bounded directed complete and furthermore every state is normal. \end{proposition}
EJA|52|Proposition|prop:atomicsum|main.tex:1276|Let $p$ be an idempotent of an EJA. Then there exist orthogonal atomic idempotents $p_i$ such that $p = \sum_i p_i$. \end{proposition}
EJA|53|Proposition||main.tex:1285|Let $E$ be an EJA. Then $E$ is a type I JBW-algebra of finite rank. \end{proposition}
EJA|54|Corollary|appendixjnw|main.tex:1292|Let $E$ be an EJA. Then there exists a finite-dimensional EJA $E_{\text{fin}}$ and an EJA $E_{\text{inf}}$ that is a direct sum of infinite-
